date,construction,manufacturing,retail_trade,total_nonfarm,transportation_warehousing,year,month,manufacturing_yoy_pct,retail_trade_yoy_pct,transportation_warehousing_yoy_pct,construction_yoy_pct,total_nonfarm_yoy_pct
2011-04-01,5485.0,11689.0,14602.8,131597.0,4277.4,2011,4,1.8649237472766922,1.4907946039490527,3.141954618890286,-1.224563299117598,1.135106055948354
2011-05-01,5516.0,11697.0,14604.3,131703.0,4285.6,2011,5,1.6158457127964487,1.443406383495982,3.061347185147789,-0.07246376811593791,0.8121431086480557
2011-06-01,5528.0,11710.0,14637.7,131931.0,4301.5,2011,6,1.5699540289704217,1.6549300665305466,3.0250047901897004,0.2175489485134241,1.0888054555206583
2011-07-01,5547.0,11729.0,14676.0,131992.0,4303.8,2011,7,1.5849644898666249,1.9010984432933808,2.652292133759482,0.7080610021786393,1.2092167312042434
2011-08-01,5552.0,11748.0,14677.7,132125.0,4310.6,2011,8,1.8200728029121205,1.8287648899341535,2.9052973334288357,0.5068790731354023,1.3111988651612227
2011-09-01,5584.0,11752.0,14686.2,132344.0,4315.9,2011,9,1.7577279418131475,1.8439283510051974,2.6056153864441267,1.508816578803862,1.53673824813374
2011-10-01,5588.0,11762.0,14698.8,132553.0,4324.1,2011,10,1.8531347419466604,1.636691766755849,2.554311735129522,1.452432824981842,1.4798652580003013
2011-11-01,5593.0,11753.0,14715.2,132690.0,4328.2,2011,11,1.5728977616454864,1.8613762693561853,2.4353300357371044,1.5800944424264385,1.4845237822086688
2011-12-01,5611.0,11783.0,14707.2,132888.0,4328.3,2011,12,1.761810173590117,1.8186853127488023,1.8399567069010025,2.633985732577271,1.573033707865168
2012-01-01,5626.0,11820.0,14766.5,133246.0,4346.3,2012,1,1.843873858349121,1.9011800427851666,3.0588291086714348,3.666850930532517,1.8412222842162373
2012-02-01,5629.0,11841.0,14760.1,133509.0,4372.2,2012,2,1.7530291312193969,1.666184513231661,2.9188832917470986,3.265455879655099,1.8709416513425392
2012-03-01,5625.0,11880.0,14776.3,133748.0,4377.0,2012,3,1.895531349172308,1.639851697975625,2.7778430037335378,2.70220923863429,1.8776231499889606
2012-04-01,5618.0,11897.0,14784.0,133825.0,4364.9,2012,4,1.7794507656771374,1.2408579176596213,2.0456351989526445,2.424794895168647,1.693047713853657
2012-05-01,5604.0,11908.0,14791.9,133932.0,4397.5,2012,5,1.8038813370949924,1.2845531795430132,2.6110696285234214,1.595358955765036,1.6924443634541264
2012-06-01,5621.0,11918.0,14772.6,134013.0,4397.7,2012,6,1.7762596071733583,0.9215928731972856,2.2364291526211666,1.6823444283646793,1.5780976419492054
2012-07-01,5632.0,11944.0,14762.5,134157.0,4409.9,2012,7,1.833063347258923,0.5893976560370717,2.46526325572749,1.532359834144592,1.6402509242984475
2012-08-01,5648.0,11940.0,14773.7,134339.0,4422.2,2012,8,1.634320735444339,0.6540534279894095,2.5889667331693733,1.729106628242083,1.6756859035004679
2012-09-01,5661.0,11934.0,14801.0,134517.0,4426.1,2012,9,1.5486725663716783,0.7816862088218857,2.5533492434949956,1.378939828080239,1.6419331439279539
2012-10-01,5674.0,11941.0,14817.1,134669.0,4436.6,2012,10,1.5218500255058665,0.8048276049745562,2.6016974630558964,1.539012168933418,1.5963425950374477
2012-11-01,5684.0,11930.0,14895.5,134825.0,4428.1,2012,11,1.505998468476144,1.2252636729368271,2.3081188484820547,1.6270337922402955,1.6090134900896835
2012-12-01,5724.0,11939.0,14865.1,135074.0,4463.7,2012,12,1.3239412713230925,1.073623803307222,3.1282489661067725,2.013901265371598,1.6449942808981932
2013-01-01,5746.0,11962.0,14887.8,135257.0,4465.0,2013,1,1.2013536379018586,0.8214539667490639,2.7310586015691474,2.1329541414859543,1.5092385512510686
2013-02-01,5784.0,11974.0,14912.7,135546.0,4463.3,2013,2,1.1232159445992762,1.0338683342253852,2.0836192305933032,2.7535974418191556,1.52573983776374
2013-03-01,5802.0,11977.0,14912.3,135689.0,4456.9,2013,3,0.8164983164983264,0.9203927911588083,1.8254512222983799,3.1466666666666754,1.4512366540060384
2013-04-01,5796.0,11978.0,14922.3,135873.0,4471.4,2013,4,0.6808439102294672,0.9354707792207817,2.439918440284994,3.1683873264506834,1.5303568092658315
2013-05-01,5829.0,11978.0,14953.8,136096.0,4467.5,2013,5,0.5878401074907558,1.0945179456324006,1.5918135304149983,4.014989293361881,1.6157453035869018
2013-06-01,5855.0,11982.0,15001.3,136279.0,4471.8,2013,6,0.5370028528276505,1.5481364147137189,1.684971689746928,4.16296032734389,1.690880735451028
2013-07-01,5859.0,11962.0,15046.1,136391.0,4463.9,2013,7,0.1507032819825893,1.9210838272650355,1.224517562756522,4.030539772727271,1.6652131457918662
2013-08-01,5878.0,11992.0,15091.6,136646.0,4479.8,2013,8,0.4355108877721836,2.151796773997039,1.3025191081362353,4.072237960339953,1.7172972852261825
2013-09-01,5910.0,12010.0,15119.1,136821.0,4506.2,2013,9,0.6368359309535832,2.149179109519639,1.8097196177221386,4.398516163222044,1.7127946653582748
2013-10-01,5931.0,12033.0,15146.2,137041.0,4512.2,2013,10,0.7704547357842761,2.2210823980401084,1.7040075733669724,4.529432499118791,1.7613556200758884
2013-11-01,5963.0,12054.0,15175.8,137317.0,4529.8,2013,11,1.039396479463539,1.8817763754153782,2.2966960999074137,4.9085151301900165,1.8483218987576544
